,0,1,2,3,4,5,6,7,8
301,Cleveland Cavaliers,106.0,New Jersey Nets,116.0,Box Score,OT,,,
302,Phoenix Suns,126.0,New Orleans Jazz,113.0,Box Score,,,,
303,Buffalo Braves,126.0,Detroit Pistons,122.0,Box Score,2OT,,,
304,Phoenix Suns,101.0,Houston Rockets,97.0,Box Score,,,,
305,New Orleans Jazz,93.0,Kansas City Kings,115.0,Box Score,,,,
306,Chicago Bulls,103.0,New York Knicks,112.0,Box Score,,,,
307,Cleveland Cavaliers,116.0,Philadelphia 76ers,129.0,Box Score,,,,
308,Washington Bullets,104.0,Portland Trail Blazers,117.0,Box Score,,,,
309,Phoenix Suns,129.0,Atlanta Hawks,134.0,Box Score,2OT,,,
310,Golden State Warriors,95.0,Cleveland Cavaliers,101.0,Box Score,,,,
311,Indiana Pacers,114.0,Kansas City Kings,115.0,Box Score,,,,
312,Boston Celtics,97.0,Los Angeles Lakers,104.0,Box Score,,,,
313,Buffalo Braves,100.0,Milwaukee Bucks,111.0,Box Score,,,,
314,Detroit Pistons,117.0,New Orleans Jazz,108.0,Box Score,,,,
315,Washington Bullets,109.0,Seattle SuperSonics,111.0,Box Score,OT,,,
316,Houston Rockets,104.0,Buffalo Braves,110.0,Box Score,,,,
317,Atlanta Hawks,86.0,Chicago Bulls,94.0,Box Score,,,,
318,Washington Bullets,115.0,Los Angeles Lakers,120.0,Box Score,,,,
319,Phoenix Suns,110.0,New York Knicks,99.0,Box Score,,,,
320,Boston Celtics,99.0,Portland Trail Blazers,104.0,Box Score,,,,
321,Detroit Pistons,118.0,San Antonio Spurs,117.0,Box Score,,,,
322,Denver Nuggets,88.0,Seattle SuperSonics,93.0,Box Score,,,,
323,Boston Celtics,106.0,Golden State Warriors,111.0,Box Score,,,,
324,Atlanta Hawks,98.0,Indiana Pacers,109.0,Box Score,,,,
325,San Antonio Spurs,92.0,Milwaukee Bucks,116.0,Box Score,,,,
326,Houston Rockets,103.0,New Jersey Nets,93.0,Box Score,,,,
327,Phoenix Suns,119.0,Philadelphia 76ers,125.0,Box Score,,,,
328,New York Knicks,100.0,Cleveland Cavaliers,112.0,Box Score,,,,
329,Milwaukee Bucks,102.0,Detroit Pistons,118.0,Box Score,,,,
330,Chicago Bulls,110.0,Kansas City Kings,113.0,Box Score,,,,
331,New Jersey Nets,110.0,New Orleans Jazz,131.0,Box Score,,,,
332,Boston Celtics,99.0,Seattle SuperSonics,132.0,Box Score,,,,
333,Detroit Pistons,108.0,Chicago Bulls,107.0,Box Score,,,,
334,Denver Nuggets,93.0,Golden State Warriors,98.0,Box Score,,,,
335,Atlanta Hawks,109.0,Milwaukee Bucks,93.0,Box Score,,,,
336,Buffalo Braves,102.0,New Jersey Nets,103.0,Box Score,,,,
337,Boston Celtics,110.0,Phoenix Suns,129.0,Box Score,,,,
338,Los Angeles Lakers,98.0,Portland Trail Blazers,108.0,Box Score,,,,
339,Houston Rockets,101.0,San Antonio Spurs,107.0,Box Score,,,,
340,Buffalo Braves,105.0,Cleveland Cavaliers,111.0,Box Score,,,,
341,Milwaukee Bucks,131.0,Kansas City Kings,122.0,Box Score,,,,
342,San Antonio Spurs,115.0,New Orleans Jazz,105.0,Box Score,,,,
343,Philadelphia 76ers,110.0,New York Knicks,113.0,Box Score,,,,
344,Golden State Warriors,97.0,Portland Trail Blazers,109.0,Box Score,,,,
345,Los Angeles Lakers,111.0,Seattle SuperSonics,96.0,Box Score,,,,
346,Atlanta Hawks,93.0,Washington Bullets,100.0,Box Score,,,,
347,Washington Bullets,113.0,Atlanta Hawks,106.0,Box Score,,,,
348,Phoenix Suns,108.0,Denver Nuggets,127.0,Box Score,,,,
349,Boston Celtics,100.0,Detroit Pistons,122.0,Box Score,,,,
350,Kansas City Kings,99.0,Houston Rockets,113.0,Box Score,,,,
351,Milwaukee Bucks,108.0,Buffalo Braves,105.0,Box Score,,,,
352,Portland Trail Blazers,106.0,Chicago Bulls,115.0,Box Score,,,,
353,New Orleans Jazz,113.0,Cleveland Cavaliers,102.0,Box Score,,"19,548",,
354,Los Angeles Lakers,123.0,Golden State Warriors,82.0,Box Score,,,,
355,Seattle SuperSonics,105.0,Phoenix Suns,131.0,Box Score,,,,
356,Indiana Pacers,96.0,San Antonio Spurs,89.0,Box Score,,,,
357,Indiana Pacers,92.0,Atlanta Hawks,99.0,Box Score,,,,
358,Golden State Warriors,108.0,Denver Nuggets,130.0,Box Score,,,,
359,Portland Trail Blazers,111.0,Detroit Pistons,106.0,Box Score,,,,
360,Chicago Bulls,125.0,Philadelphia 76ers,129.0,Box Score,OT,,,
361,Buffalo Braves,87.0,Washington Bullets,106.0,Box Score,,,,
362,Cleveland Cavaliers,99.0,Houston Rockets,104.0,Box Score,,,,
363,Boston Celtics,124.0,Milwaukee Bucks,115.0,Box Score,,,,
364,New York Knicks,109.0,New Jersey Nets,101.0,Box Score,,,,
